experiment_id,dataset_name,model_type,fusion_strategy,curve_threshold,precision,recall,f1
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.8775510204081632,0.8566073102155577,0.3145216792842395,0.46010571356657437
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.8979591836734693,0.8602520045819015,0.25843083275980727,0.3974596454088383
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.9183673469387754,0.8541996830427893,0.1854783207157605,0.30477806050325135
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.9387755102040816,0.8871473354231975,0.0973847212663455,0.17550387596899225
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.9591836734693877,0.9398496240601504,0.04301445285615967,0.08226390259953932
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,0.9795918367346939,0.75,0.0010323468685478321,0.002061855670103093
a6975b87-e613-4c22-bf06-2b2fa2effe21,CICIDS,Ensemble_with_LUNAR,rank_mean,1.0,0.0,0.0,0.0
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.0,0.5505833333333333,1.0,0.7101628419412049
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.02040816326530612,0.5507669223074358,1.0,0.7103155405042197
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.04081632653061224,0.5527945113788487,1.0,0.7119995689422921
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.061224489795918366,0.5594411515664691,1.0,0.7174892762121953
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.08163265306122448,0.5698145752479516,1.0,0.7259641797604659
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.1020408163265306,0.5807103921223844,0.9996972907522325,0.7346643679439409
58d080c2-0083-4a7c-a594-e1afa0fc0844,UNSW_NB15,Ensemble_with_LUNAR,rank_mean,0.12244897959183673,0.5953068592057762,0.9983350991372787,0.7458585401707469
