,,,,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_ROC,AUC_PR,AUC_PR,AUC_PR,AUC_PR,AUC_PR,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1,F1,F1,F1,F1,runtime_train,runtime_train,runtime_train,runtime_train,runtime_train,runtime_inference,runtime_inference,runtime_inference,runtime_inference,runtime_inference
,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
dataset_name,model_type,fusion_strategy,threshold_variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar,operational,0.9601484060205895,0.0018167355049712995,0.9582477924400699,0.961867659433302,3,0.878697947133511,0.0013876430147086948,0.8776967812388597,0.8802819521014777,3,0.7473598915846548,0.01592470802422364,0.7345344531743881,0.7651843338343206,3,0.9093412846219445,0.021445692421891756,0.8935577121618832,0.9337581080305378,3,0.8201862113161752,0.005545756910602294,0.8139042821158691,0.8244034862123161,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar,recall_oriented,0.9601484060205895,0.0018167355049712995,0.9582477924400699,0.961867659433302,3,0.878697947133511,0.0013876430147086948,0.8776967812388597,0.8802819521014777,3,0.7312686895276609,0.012612480581237014,0.7233977037786478,0.7458159849783655,3,0.9478294233875019,0.007387741017698475,0.9431653933512286,0.9563472152533868,3,0.8255170077012474,0.006988707021427527,0.8190964785575534,0.8329610211989971,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar,standard,0.9601484060205895,0.0018167355049712995,0.9582477924400699,0.961867659433302,3,0.878697947133511,0.0013876430147086948,0.8776967812388597,0.8802819521014777,3,0.7380679554258954,0.010903394022614192,0.7294675668746261,0.7503311258278146,3,0.942066064202718,0.008486231242902794,0.9357836052033863,0.95171990856888,3,0.8276130980297727,0.00463347664386052,0.8240778068937714,0.8328585867867316,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar_plus_baseline,operational,0.9639377789956792,0.005067515384588806,0.9580979825318621,0.9671775133089413,3,0.8913366720384638,0.012163805935580021,0.8773415777111859,0.8993643531333944,3,0.7863921810442481,0.04806508891342584,0.7345120799028209,0.8294083582665766,3,0.9246329330272531,0.032998409288333364,0.887208341936816,0.9495456319339912,3,0.8488205267119389,0.022272077156541187,0.823547215496368,0.8655791025054632,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar_plus_baseline,recall_oriented,0.9639377789956792,0.005067515384588806,0.9580979825318621,0.9671775133089413,3,0.8913366720384638,0.012163805935580021,0.8773415777111859,0.8993643531333944,3,0.7501882198586342,0.030301497803896633,0.7243705630759734,0.7835486305322502,3,0.9365942406381106,0.022912691576293935,0.9111604377451993,0.9556224563750906,3,0.8325603254631746,0.011929476822742726,0.8193516209476309,0.8425499415260508,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,feature_level_X_plus_lunar_plus_baseline,standard,0.9639377789956792,0.005067515384588806,0.9580979825318621,0.9671775133089413,3,0.8913366720384638,0.012163805935580021,0.8773415777111859,0.8993643531333944,3,0.7799171596068257,0.04735340712842234,0.734529591653175,0.8290177925647331,3,0.9261152113729088,0.034339432237730116,0.8875180673136486,0.9532809276913642,3,0.8455539134689246,0.01893126863235384,0.8237133419068513,0.8572710727730548,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,operational,0.831446758794193,0.045858294310879164,0.7785240683611743,0.8594491377875383,3,0.6119130427353884,0.10837137568104392,0.4972626851224117,0.7126643276465503,3,0.37088816087287,0.115516074473713,0.24215,0.46548682802695124,3,0.943534277183019,0.05206796867477361,0.8974187433796064,1.0,3,0.5225928750690442,0.11741765364936183,0.3898884997786097,0.6130088731482539,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,recall_oriented,0.831446758794193,0.045858294310879164,0.7785240683611743,0.8594491377875383,3,0.6119130427353884,0.10837137568104392,0.4972626851224117,0.7126643276465503,3,0.48369085515490245,0.09011906144445646,0.4050276545916588,0.5820183950721458,3,0.8502284804814894,0.12041841358866869,0.7121102622341524,0.9331840881694506,3,0.6063298517113286,0.03834018667025184,0.564881252280269,0.6405256070947671,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
CICIDS,Fusion_Level_Comparison,lunar_self_ensemble,standard,0.831446758794193,0.045858294310879164,0.7785240683611743,0.8594491377875383,3,0.6119130427353884,0.10837137568104392,0.4972626851224117,0.7126643276465503,3,0.6272196437361242,0.049145525861693934,0.5982348767074686,0.6839635973093663,3,0.6990054833745122,0.006238752563790645,0.6945640319155043,0.7061381501923398,3,0.6604077725423075,0.025073867364886256,0.6435591603053435,0.6892230576441103,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3
CICIDS,Fusion_Level_Comparison,score_level,operational,0.8611077661894425,0.007649060196611846,0.8564009327126574,0.8699336176210362,3,0.6987499461814143,0.031307561559853286,0.6744859202580791,0.7340898499416398,3,0.40556180435182215,0.043191542027659006,0.3559437667976018,0.4347351174221737,3,0.920973561338672,0.03585526315349194,0.8892215568862275,0.9598595082789764,3,0.5615124375850521,0.03713267476435856,0.5193116865489315,0.5891822875224366,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,score_level,recall_oriented,0.8611077661894425,0.007649060196611846,0.8564009327126574,0.8699336176210362,3,0.6987499461814143,0.031307561559853286,0.6744859202580791,0.7340898499416398,3,0.4393778418887373,0.016508298718980855,0.4256880280646277,0.4577103801794105,3,0.8798784250295569,0.03964361074811056,0.8363159948709372,0.9138396188508122,3,0.5855385109354155,0.00851662492314293,0.5758061821219715,0.5916270631618387,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,Fusion_Level_Comparison,score_level,standard,0.8611077661894425,0.007649060196611846,0.8564009327126574,0.8699336176210362,3,0.6987499461814143,0.031307561559853286,0.6744859202580791,0.7340898499416398,3,0.6268724728682443,0.053683984822648585,0.5710771027063092,0.6781609195402298,3,0.7045264241096492,0.003086956104158525,0.7010504563457896,0.7069481726202766,3,0.662542291042724,0.029007917205034133,0.6317901875302747,0.689415749364945,3,188.23277521133423,85.58844087367308,112.84342288970947,281.2692563533783,3,12.723431269327799,0.868009278884417,11.769700050354004,13.467200756072998,3
CICIDS,IsolationForest,none,standard,0.8119102889322515,0.005046741126483753,0.8068861585785483,0.816979340937284,3,0.6028086149263722,0.004047704821928811,0.598147209399639,0.6054349326622471,3,0.698186396836451,0.2209192713119632,0.44309186855361,0.8263744941269371,3,0.5436368642026292,0.18985636003410797,0.43217014247367336,0.7628536031385504,3,0.5661800136387227,0.005060677764751535,0.5605796221834458,0.5704249138688103,3,0.6897164185841879,0.032143602573462826,0.6558852195739746,0.7198531627655029,3,1.4922881126403809,0.07879581607817303,1.4452202320098877,1.5832552909851074,3
CICIDS,LOF,none,standard,0.7550420668583139,0.047739763866116974,0.7245222801434462,0.8100573625926807,3,0.4108830792028102,0.0380146197505812,0.3841544527226216,0.45440193952362185,3,0.5185732615968331,0.026383525350062838,0.495963495963496,0.5475611668757842,3,0.6400474912244477,0.07183676005786235,0.5835226099525088,0.720885814577741,3,0.5725953543409803,0.04462614159474812,0.5361920121430604,0.6223816739459845,3,8.284915208816528,6.260803013460702,1.3678154945373535,13.56361699104309,3,15.868985255559286,11.742339828888808,2.6712634563446045,25.159991979599,3
