dataset_name,fusion_strategy,Scenariusz,Poziom,AUC_PR_mean,AUC_PR_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,ConfusionMatrix_FP_mean,ConfusionMatrix_FP_std
CICIDS,rank_mean,Nierównowaga,0.25,0.35256323292885633,0.014758422397417289,0.4196819700478634,0.04068716758134989,0.27565685165734805,0.03747265402845467,0.8929038474774589,0.0367693484770325,11633.0,2811.818628574752
CICIDS,rank_mean,Nierównowaga,0.5,0.5177179901855861,0.01624868392251451,0.6106011430398331,0.0313946660146863,0.47037254784281596,0.045664889619714856,0.8771078532589992,0.035197780363976194,9735.333333333334,2278.453495977772
CICIDS,rank_mean,Nierównowaga,1.0,0.6811723357989177,0.017561433331064212,0.7596616490013632,0.01635664043560227,0.6963865441535741,0.04561123306168298,0.8386846995663845,0.029522278887762463,7190.0,1873.1302677603605
CICIDS,rank_mean,Szum,0.15,0.6647664275458736,,0.5664563013960604,,0.7403766038993501,,0.4587032830889944,,3116.0,
CICIDS,stacking_lr,Szum,0.05,0.6944504145716872,,0.4594549723691388,,0.29824183268159,,1.0,,45582.0,
CICIDS,weighted,Szum,0.05,0.7033675211067685,0.017527299987831042,0.5228247023067061,0.11608031912819189,0.5559599739160808,0.3865008244498168,0.7380497625438778,0.3704535784773008,25530.5,33419.987799219794
CICIDS,weighted,Szum,0.15,0.6448598185127167,,0.3925032924729004,,0.2441705109783458,,1.0,,59966.0,
UNSW_NB15,bagging,Dropout cech,0.1,0.9274653003457262,0.000756627367757306,0.8302874251009857,0.002701026909762962,0.9030524272908362,0.0035139472246038883,0.7683965976510474,0.005432512595095346,3634.3333333333335,161.76938317658664
UNSW_NB15,bagging,Dropout cech,0.3,0.9306518365568998,0.0016719673619926044,0.8436480458283455,0.0012182373326634695,0.9065470488273903,0.004190435585870724,0.7889196633975057,0.001059098890054759,3583.0,181.8488383245821
UNSW_NB15,bagging,Nierównowaga,0.25,0.8430057446088227,0.0030961891738044193,0.7406018183016956,0.018939234864947026,0.7045293880003802,0.038251449116326525,0.7815716188400533,0.007668116700970526,3635.6666666666665,671.386873071952
UNSW_NB15,bagging,Nierównowaga,0.5,0.8903159209637662,0.0017601284252525705,0.8006344711582267,0.006015460369772803,0.8194229977021376,0.014678341232881174,0.7828278241917909,0.0066510207417075865,3805.0,394.46039091396744
UNSW_NB15,bagging,Nierównowaga,1.0,0.9298616816107838,0.002123893913112613,0.8398596518777947,0.005171751690684655,0.905827186110165,0.015914119238567625,0.7830018767405255,0.0078601943678672,3596.3333333333335,688.9211372380247
UNSW_NB15,bagging,Szum,0.05,0.9259897005260852,0.000826866198113696,0.8382665011632656,0.0056816751887949915,0.8961092299620539,0.015070286642057852,0.7875272430076281,0.0017560355647718478,4030.0,667.0314835148338
UNSW_NB15,bagging,Szum,0.15,0.9312466207172458,0.0013478634743121411,0.8272922475107253,0.021310852821199162,0.845484009697278,0.09222699401504278,0.817971304031965,0.0523202741691448,7161.666666666667,5630.852540542448
UNSW_NB15,max,Szum,0.15,0.9306367198335244,,0.8394077037072736,,0.8943287720469307,,0.7908418089357065,,4116.0,
UNSW_NB15,rank_mean,Dropout cech,0.1,0.9299996678154696,0.0005546636647250655,0.8110215520337604,0.002480443032982816,0.8318842039904194,0.07140983820187516,0.7974406707833879,0.05581337351448673,7459.666666666667,3852.623045839462
UNSW_NB15,rank_mean,Dropout cech,0.3,0.927529486762552,,0.8234171094113066,,0.921560909780989,,0.7441654558663277,,2790.0,
UNSW_NB15,rank_mean,Nierównowaga,0.25,0.838693467678929,0.005688233868307253,0.5505970843405678,0.05982933002559525,0.39957492287562796,0.08139177202419208,0.9192093473786173,0.07635418685529544,16119.333333333334,5865.647818726703
UNSW_NB15,rank_mean,Nierównowaga,0.5,0.8904463263130246,0.004209348675968668,0.7234279669660287,0.033187049967915924,0.6255008681844343,0.09740689323845489,0.8782388909068896,0.08173634201261537,12324.0,5411.7824235643475
UNSW_NB15,rank_mean,Nierównowaga,1.0,0.9335402365655833,0.0019505675518329414,0.8191609926873201,0.0031163288598863854,0.8270700140579986,0.07858824450330403,0.8198102070468579,0.06723778353694919,8021.333333333333,4509.299760864577
UNSW_NB15,stacking_lr,Dropout cech,0.3,0.929834210097842,,0.8448102937938795,,0.9158048263060196,,0.784031057028696,,3175.0,
UNSW_NB15,stacking_lr,Szum,0.05,0.9317822106455692,,0.8446503727941452,,0.938733586875052,,0.7677079549582274,,2207.0,
UNSW_NB15,stacking_lr,Szum,0.15,0.9308124423846662,,0.8425419757907068,,0.9108273533136344,,0.7837813294587722,,3380.0,
UNSW_NB15,weighted,Dropout cech,0.3,0.9317798462971612,,0.8446815718157181,,0.9041908412764194,,0.7925217944061025,,3699.0,
UNSW_NB15,weighted,Szum,0.05,0.9283201812966895,0.0006410118130649346,0.8392799063738521,0.004418419175770846,0.94800232420411,0.0008151720935204881,0.7529399745731928,0.006597822536044114,1819.0,14.142135623730951
UNSW_NB15,weighted,Szum,0.15,0.9314046653297348,,0.8255595381256494,,0.8498185227026898,,0.8026471122411915,,6248.0,
