number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
80,0.806329970368109,2026-08-03 12:03:39.870860,2026-08-03 12:03:40.391951,0 days 00:00:00.521091,True,0.03730357250647953,0.9132035030394684,0.9604372848839209,300,COMPLETE
81,0.8178220196689854,2026-08-03 12:03:40.463182,2026-08-03 12:03:41.154670,0 days 00:00:00.691488,True,0.0576905160925596,0.946040702015175,0.9011255521809163,400,COMPLETE
82,0.8252251466451515,2026-08-03 12:03:41.233150,2026-08-03 12:03:42.107391,0 days 00:00:00.874241,True,0.08559429458238667,0.9666096184947568,0.9755666966064716,500,COMPLETE
83,0.8234800632857721,2026-08-03 12:03:42.170401,2026-08-03 12:03:43.225888,0 days 00:00:01.055487,True,0.08911441432486264,0.9738526197739276,0.973979418676663,600,COMPLETE
84,0.8117923659720254,2026-08-03 12:03:43.304130,2026-08-03 12:03:44.012125,0 days 00:00:00.707995,True,0.08791137974900429,0.9854783008625496,0.9877803352644052,400,COMPLETE
85,0.8211092697180487,2026-08-03 12:03:44.075189,2026-08-03 12:03:44.926366,0 days 00:00:00.851177,True,0.04895769630436858,0.8941204707905023,0.9658519505651421,500,COMPLETE
86,0.8197115675827596,2026-08-03 12:03:44.988941,2026-08-03 12:03:45.847998,0 days 00:00:00.859057,True,0.018061774998454544,0.8883946834794063,0.9715583918486762,500,COMPLETE
87,0.8195331826298485,2026-08-03 12:03:45.926467,2026-08-03 12:03:46.791580,0 days 00:00:00.865113,True,0.04783810379076735,0.9440347996994158,0.9550395068527908,500,COMPLETE
88,0.8124692596388448,2026-08-03 12:03:46.869790,2026-08-03 12:03:47.741490,0 days 00:00:00.871700,True,0.10304917835605301,0.9321180806212661,0.999079307487184,500,COMPLETE
89,0.8109673734223986,2026-08-03 12:03:47.804186,2026-08-03 12:03:48.859788,0 days 00:00:01.055602,True,0.05130944348798117,0.9744148780267833,0.9431102494862935,600,COMPLETE
90,0.8161393256140197,2026-08-03 12:03:48.940703,2026-08-03 12:03:49.767086,0 days 00:00:00.826383,True,0.08317628203836366,0.8548487858669237,0.9741083094072716,500,COMPLETE
91,0.820412992966363,2026-08-03 12:03:49.845329,2026-08-03 12:03:50.352046,0 days 00:00:00.506717,True,0.06953662973456914,0.8954280449148123,0.8847251449538668,300,COMPLETE
92,0.8085702309736851,2026-08-03 12:03:50.435888,2026-08-03 12:03:51.084043,0 days 00:00:00.648155,True,0.06688205848620368,0.826458479654042,0.8358326330639108,400,COMPLETE
93,0.7985285815700782,2026-08-03 12:03:51.163091,2026-08-03 12:03:51.990058,0 days 00:00:00.826967,True,0.040395503616451924,0.8784114567509064,0.35022284429915496,500,COMPLETE
94,0.8159118772275404,2026-08-03 12:03:52.061028,2026-08-03 12:03:52.934289,0 days 00:00:00.873261,True,0.09535577680391542,0.9911555588855018,0.9423695245147924,500,COMPLETE
95,0.8092592390685458,2026-08-03 12:03:53.012567,2026-08-03 12:03:54.037050,0 days 00:00:01.024483,True,0.4450748418870563,0.912720348504704,0.9025856478773413,600,COMPLETE
96,0.808322490920236,2026-08-03 12:03:54.115549,2026-08-03 12:03:54.798920,0 days 00:00:00.683371,True,0.02421410346855863,0.9489917062806281,0.8641432502979157,400,COMPLETE
97,0.8032477570136481,2026-08-03 12:03:54.877167,2026-08-03 12:03:55.716095,0 days 00:00:00.838928,True,0.1394869609386012,0.9702103660582937,0.15893330473386807,500,COMPLETE
98,0.8075922937700343,2026-08-03 12:03:55.791346,2026-08-03 12:03:55.966059,0 days 00:00:00.174713,True,0.03507134287377145,0.8633155888585847,0.5063987905409371,100,COMPLETE
99,0.8110951806382365,2026-08-03 12:03:56.028856,2026-08-03 12:03:56.563683,0 days 00:00:00.534827,True,0.10452358077552679,0.9236514891198613,0.7579841926993582,300,COMPLETE
100,0.8091211345888727,2026-08-03 12:03:56.642211,2026-08-03 12:03:57.700816,0 days 00:00:01.058605,True,0.07736702180941712,0.9576171818627908,0.971057940569035,600,COMPLETE
101,0.8113713895975829,2026-08-03 12:03:57.779823,2026-08-03 12:03:58.288237,0 days 00:00:00.508414,True,0.0696146271236838,0.9007420605558618,0.8816362550839982,300,COMPLETE
102,0.8145041806891171,2026-08-03 12:03:58.367435,2026-08-03 12:03:58.899810,0 days 00:00:00.532375,True,0.08661912764633559,0.8961335883111912,0.9354546871566456,300,COMPLETE
103,0.8128584356396782,2026-08-03 12:03:58.980284,2026-08-03 12:03:59.664978,0 days 00:00:00.684694,True,0.0583595889963084,0.8470530516705636,0.8425098086110719,400,COMPLETE
