number,value,datetime_start,datetime_complete,duration,params_fusion_strategy,params_meta_C,params_w_0,params_w_1,state
21,0.9200232681423269,2026-08-31 16:57:33.832098,2026-08-31 16:57:33.837228,0 days 00:00:00.005130,rank_mean,,,,COMPLETE
22,0.9200232681423269,2026-08-31 16:57:33.894539,2026-08-31 16:57:33.898719,0 days 00:00:00.004180,rank_mean,,,,COMPLETE
23,0.9200232681423269,2026-08-31 16:57:33.956707,2026-08-31 16:57:33.960928,0 days 00:00:00.004221,rank_mean,,,,COMPLETE
24,0.9200232681423269,2026-08-31 16:57:34.018367,2026-08-31 16:57:34.022413,0 days 00:00:00.004046,rank_mean,,,,COMPLETE
25,0.9024334360297704,2026-08-31 16:57:34.079640,2026-08-31 16:57:34.083376,0 days 00:00:00.003736,mean,,,,COMPLETE
26,0.902451369574117,2026-08-31 16:57:34.140095,2026-08-31 16:57:34.146529,0 days 00:00:00.006434,stacking_lr,0.014997712809289097,,,COMPLETE
27,0.9200232681423269,2026-08-31 16:57:34.205763,2026-08-31 16:57:34.210951,0 days 00:00:00.005188,rank_mean,,,,COMPLETE
28,0.9200232681423269,2026-08-31 16:57:34.267689,2026-08-31 16:57:34.273085,0 days 00:00:00.005396,rank_mean,,,,COMPLETE
29,0.9024334360297704,2026-08-31 16:57:34.332051,2026-08-31 16:57:34.335079,0 days 00:00:00.003028,mean,,,,COMPLETE
30,0.9200232681423269,2026-08-31 16:57:34.392119,2026-08-31 16:57:34.396561,0 days 00:00:00.004442,rank_mean,,,,COMPLETE
31,0.9200232681423269,2026-08-31 16:57:34.455110,2026-08-31 16:57:34.459292,0 days 00:00:00.004182,rank_mean,,,,COMPLETE
32,0.9200232681423269,2026-08-31 16:57:34.518448,2026-08-31 16:57:34.522479,0 days 00:00:00.004031,rank_mean,,,,COMPLETE
33,0.9200232681423269,2026-08-31 16:57:34.580178,2026-08-31 16:57:34.585726,0 days 00:00:00.005548,rank_mean,,,,COMPLETE
34,0.9024335202248143,2026-08-31 16:57:34.642100,2026-08-31 16:57:34.652409,0 days 00:00:00.010309,stacking_lr,53.027283048831926,,,COMPLETE
35,0.902451453769161,2026-08-31 16:57:34.714294,2026-08-31 16:57:34.718317,0 days 00:00:00.004023,weighted,,0.998581865725195,0.005977503949757934,COMPLETE
36,0.9024464722290646,2026-08-31 16:57:34.777975,2026-08-31 16:57:34.781005,0 days 00:00:00.003030,max,,,,COMPLETE
37,0.9200232681423269,2026-08-31 16:57:34.842812,2026-08-31 16:57:34.846925,0 days 00:00:00.004113,rank_mean,,,,COMPLETE
38,0.9024334360297704,2026-08-31 16:57:34.907244,2026-08-31 16:57:34.910456,0 days 00:00:00.003212,mean,,,,COMPLETE
39,0.9024044729346752,2026-08-31 16:57:34.967498,2026-08-31 16:57:34.971800,0 days 00:00:00.004302,weighted,,0.08226181264636356,0.2542398442012117,COMPLETE
40,0.9200232681423269,2026-08-31 16:57:35.029797,2026-08-31 16:57:35.034293,0 days 00:00:00.004496,rank_mean,,,,COMPLETE
41,0.9200232681423269,2026-08-31 16:57:35.091344,2026-08-31 16:57:35.095795,0 days 00:00:00.004451,rank_mean,,,,COMPLETE
42,0.9200232681423269,2026-08-31 16:57:35.153932,2026-08-31 16:57:35.158063,0 days 00:00:00.004131,rank_mean,,,,COMPLETE
43,0.9200232681423269,2026-08-31 16:57:35.215842,2026-08-31 16:57:35.219964,0 days 00:00:00.004122,rank_mean,,,,COMPLETE
44,0.9200232681423269,2026-08-31 16:57:35.279806,2026-08-31 16:57:35.283233,0 days 00:00:00.003427,rank_mean,,,,COMPLETE
45,0.9024514257041463,2026-08-31 16:57:35.343369,2026-08-31 16:57:35.350578,0 days 00:00:00.007209,stacking_lr,0.014379472904898133,,,COMPLETE
46,0.9200232681423269,2026-08-31 16:57:35.408931,2026-08-31 16:57:35.414039,0 days 00:00:00.005108,rank_mean,,,,COMPLETE
47,0.9024343621752531,2026-08-31 16:57:35.471979,2026-08-31 16:57:35.475276,0 days 00:00:00.003297,weighted,,0.9918394589137369,0.45981781072973527,COMPLETE
48,0.9024464722290646,2026-08-31 16:57:35.536827,2026-08-31 16:57:35.540178,0 days 00:00:00.003351,max,,,,COMPLETE
49,0.9200232681423269,2026-08-31 16:57:35.600076,2026-08-31 16:57:35.604398,0 days 00:00:00.004322,rank_mean,,,,COMPLETE
50,0.9200232681423269,2026-08-31 16:57:35.662940,2026-08-31 16:57:35.667012,0 days 00:00:00.004072,rank_mean,,,,COMPLETE
51,0.9200232681423269,2026-08-31 16:57:35.726760,2026-08-31 16:57:35.731155,0 days 00:00:00.004395,rank_mean,,,,COMPLETE
52,0.9200232681423269,2026-08-31 16:57:35.791893,2026-08-31 16:57:35.796133,0 days 00:00:00.004240,rank_mean,,,,COMPLETE
53,0.9200232681423269,2026-08-31 16:57:35.855260,2026-08-31 16:57:35.860265,0 days 00:00:00.005005,rank_mean,,,,COMPLETE
54,0.9200232681423269,2026-08-31 16:57:35.929171,2026-08-31 16:57:35.934163,0 days 00:00:00.004992,rank_mean,,,,COMPLETE
55,0.9024334360297704,2026-08-31 16:57:35.996076,2026-08-31 16:57:35.998545,0 days 00:00:00.002469,mean,,,,COMPLETE
56,0.9200232681423269,2026-08-31 16:57:36.055959,2026-08-31 16:57:36.061109,0 days 00:00:00.005150,rank_mean,,,,COMPLETE
57,0.9024464722290646,2026-08-31 16:57:36.118725,2026-08-31 16:57:36.121733,0 days 00:00:00.003008,max,,,,COMPLETE
58,0.9200232681423269,2026-08-31 16:57:36.180229,2026-08-31 16:57:36.184253,0 days 00:00:00.004024,rank_mean,,,,COMPLETE
59,0.9200232681423269,2026-08-31 16:57:36.242576,2026-08-31 16:57:36.246786,0 days 00:00:00.004210,rank_mean,,,,COMPLETE
60,0.9024351479956626,2026-08-31 16:57:36.306124,2026-08-31 16:57:36.315912,0 days 00:00:00.009788,stacking_lr,1.6369802507577913,,,COMPLETE
61,0.9200232681423269,2026-08-31 16:57:36.376715,2026-08-31 16:57:36.380709,0 days 00:00:00.003994,rank_mean,,,,COMPLETE
62,0.9200232681423269,2026-08-31 16:57:36.441171,2026-08-31 16:57:36.445791,0 days 00:00:00.004620,rank_mean,,,,COMPLETE
63,0.9200232681423269,2026-08-31 16:57:36.505116,2026-08-31 16:57:36.509146,0 days 00:00:00.004030,rank_mean,,,,COMPLETE
64,0.9200232681423269,2026-08-31 16:57:36.568516,2026-08-31 16:57:36.572612,0 days 00:00:00.004096,rank_mean,,,,COMPLETE
65,0.9200232681423269,2026-08-31 16:57:36.631274,2026-08-31 16:57:36.636293,0 days 00:00:00.005019,rank_mean,,,,COMPLETE
66,0.9024320047140244,2026-08-31 16:57:36.693417,2026-08-31 16:57:36.697414,0 days 00:00:00.003997,weighted,,0.3326557501699513,0.46794305851921447,COMPLETE
67,0.9200232681423269,2026-08-31 16:57:36.757162,2026-08-31 16:57:36.761399,0 days 00:00:00.004237,rank_mean,,,,COMPLETE
68,0.9024334360297704,2026-08-31 16:57:36.822360,2026-08-31 16:57:36.825369,0 days 00:00:00.003009,mean,,,,COMPLETE
69,0.9200232681423269,2026-08-31 16:57:36.884443,2026-08-31 16:57:36.888504,0 days 00:00:00.004061,rank_mean,,,,COMPLETE
70,0.9200232681423269,2026-08-31 16:57:36.949066,2026-08-31 16:57:36.953094,0 days 00:00:00.004028,rank_mean,,,,COMPLETE
71,0.9200232681423269,2026-08-31 16:57:37.011554,2026-08-31 16:57:37.015609,0 days 00:00:00.004055,rank_mean,,,,COMPLETE
72,0.9200232681423269,2026-08-31 16:57:37.073150,2026-08-31 16:57:37.077554,0 days 00:00:00.004404,rank_mean,,,,COMPLETE
73,0.9200232681423269,2026-08-31 16:57:37.135013,2026-08-31 16:57:37.140075,0 days 00:00:00.005062,rank_mean,,,,COMPLETE
74,0.9200232681423269,2026-08-31 16:57:37.196849,2026-08-31 16:57:37.201851,0 days 00:00:00.005002,rank_mean,,,,COMPLETE
75,0.9024464722290646,2026-08-31 16:57:37.258976,2026-08-31 16:57:37.262004,0 days 00:00:00.003028,max,,,,COMPLETE
76,0.9024401996982955,2026-08-31 16:57:37.319611,2026-08-31 16:57:37.328771,0 days 00:00:00.009160,stacking_lr,0.3566970483031826,,,COMPLETE
77,0.9200232681423269,2026-08-31 16:57:37.388084,2026-08-31 16:57:37.392081,0 days 00:00:00.003997,rank_mean,,,,COMPLETE
78,0.9200232681423269,2026-08-31 16:57:37.450489,2026-08-31 16:57:37.454551,0 days 00:00:00.004062,rank_mean,,,,COMPLETE
79,0.9200232681423269,2026-08-31 16:57:37.514378,2026-08-31 16:57:37.518409,0 days 00:00:00.004031,rank_mean,,,,COMPLETE
