number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
77,0.8137473317972239,2026-08-08 16:18:02.495272,2026-08-08 16:18:03.461657,0 days 00:00:00.966385,False,0.1095973687119051,0.9299778214877958,0.8595387490230647,500,COMPLETE
78,0.81588552834655,2026-08-08 16:18:03.539988,2026-08-08 16:18:04.521711,0 days 00:00:00.981723,False,0.12740667877795864,0.9844159713152599,0.9145157101917123,500,COMPLETE
79,0.8219533424918409,2026-08-08 16:18:04.584331,2026-08-08 16:18:05.327466,0 days 00:00:00.743135,True,0.044703498096160164,0.947339962640278,0.9654568408982012,400,COMPLETE
80,0.806329970368109,2026-08-08 16:18:05.390090,2026-08-08 16:18:05.960793,0 days 00:00:00.570703,True,0.03730357250647953,0.9132035030394684,0.9604372848839209,300,COMPLETE
81,0.8178220196689854,2026-08-08 16:18:06.023422,2026-08-08 16:18:06.765231,0 days 00:00:00.741809,True,0.0576905160925596,0.946040702015175,0.9011255521809163,400,COMPLETE
82,0.8252251466451515,2026-08-08 16:18:06.843961,2026-08-08 16:18:07.776681,0 days 00:00:00.932720,True,0.08559429458238667,0.9666096184947568,0.9755666966064716,500,COMPLETE
83,0.8234800632857721,2026-08-08 16:18:07.839783,2026-08-08 16:18:08.960657,0 days 00:00:01.120874,True,0.08911441432486264,0.9738526197739276,0.973979418676663,600,COMPLETE
84,0.8117923659720254,2026-08-08 16:18:09.039346,2026-08-08 16:18:09.798398,0 days 00:00:00.759052,True,0.08791137974900429,0.9854783008625496,0.9877803352644052,400,COMPLETE
85,0.8211092697180487,2026-08-08 16:18:09.861495,2026-08-08 16:18:10.765198,0 days 00:00:00.903703,True,0.04895769630436858,0.8941204707905023,0.9658519505651421,500,COMPLETE
86,0.8197115675827596,2026-08-08 16:18:10.843470,2026-08-08 16:18:11.745485,0 days 00:00:00.902015,True,0.018061774998454544,0.8883946834794063,0.9715583918486762,500,COMPLETE
87,0.8195331826298485,2026-08-08 16:18:11.823766,2026-08-08 16:18:12.741181,0 days 00:00:00.917415,True,0.04783810379076735,0.9440347996994158,0.9550395068527908,500,COMPLETE
88,0.8124692596388448,2026-08-08 16:18:12.819867,2026-08-08 16:18:13.737142,0 days 00:00:00.917275,True,0.10304917835605301,0.9321180806212661,0.999079307487184,500,COMPLETE
89,0.8109673734223986,2026-08-08 16:18:13.799772,2026-08-08 16:18:14.921839,0 days 00:00:01.122067,True,0.05130944348798117,0.9744148780267833,0.9431102494862935,600,COMPLETE
90,0.8161393256140197,2026-08-08 16:18:15.000125,2026-08-08 16:18:15.902573,0 days 00:00:00.902448,True,0.08317628203836366,0.8548487858669237,0.9741083094072716,500,COMPLETE
91,0.820412992966363,2026-08-08 16:18:15.965514,2026-08-08 16:18:16.503300,0 days 00:00:00.537786,True,0.06953662973456914,0.8954280449148123,0.8847251449538668,300,COMPLETE
92,0.8085702309736851,2026-08-08 16:18:16.581664,2026-08-08 16:18:17.290828,0 days 00:00:00.709164,True,0.06688205848620368,0.826458479654042,0.8358326330639108,400,COMPLETE
93,0.7985285815700782,2026-08-08 16:18:17.369145,2026-08-08 16:18:18.240803,0 days 00:00:00.871658,True,0.040395503616451924,0.8784114567509064,0.35022284429915496,500,COMPLETE
94,0.8159118772275404,2026-08-08 16:18:18.319134,2026-08-08 16:18:19.252920,0 days 00:00:00.933786,True,0.09535577680391542,0.9911555588855018,0.9423695245147924,500,COMPLETE
95,0.8092592390685458,2026-08-08 16:18:19.331194,2026-08-08 16:18:20.421524,0 days 00:00:01.090330,True,0.4450748418870563,0.912720348504704,0.9025856478773413,600,COMPLETE
96,0.808322490920236,2026-08-08 16:18:20.484282,2026-08-08 16:18:21.227849,0 days 00:00:00.743567,True,0.02421410346855863,0.9489917062806281,0.8641432502979157,400,COMPLETE
97,0.8032477570136481,2026-08-08 16:18:21.306167,2026-08-08 16:18:22.207992,0 days 00:00:00.901825,True,0.1394869609386012,0.9702103660582937,0.15893330473386807,500,COMPLETE
98,0.8075922937700343,2026-08-08 16:18:22.270621,2026-08-08 16:18:22.460757,0 days 00:00:00.190136,True,0.03507134287377145,0.8633155888585847,0.5063987905409371,100,COMPLETE
99,0.8110951806382365,2026-08-08 16:18:22.539057,2026-08-08 16:18:23.092394,0 days 00:00:00.553337,True,0.10452358077552679,0.9236514891198613,0.7579841926993582,300,COMPLETE
100,0.8091211345888727,2026-08-08 16:18:23.155236,2026-08-08 16:18:24.279032,0 days 00:00:01.123796,True,0.07736702180941712,0.9576171818627908,0.971057940569035,600,COMPLETE
101,0.8113713895975829,2026-08-08 16:18:24.341690,2026-08-08 16:18:24.896320,0 days 00:00:00.554630,True,0.0696146271236838,0.9007420605558618,0.8816362550839982,300,COMPLETE
102,0.8145041806891171,2026-08-08 16:18:24.974603,2026-08-08 16:18:25.511875,0 days 00:00:00.537272,True,0.08661912764633559,0.8961335883111912,0.9354546871566456,300,COMPLETE
103,0.8128584356396782,2026-08-08 16:18:25.590175,2026-08-08 16:18:26.301053,0 days 00:00:00.710878,True,0.0583595889963084,0.8470530516705636,0.8425098086110719,400,COMPLETE
104,0.8101875071172265,2026-08-08 16:18:26.363702,2026-08-08 16:18:27.279694,0 days 00:00:00.915992,True,0.06926301503118061,0.9353213454874318,0.887488222760691,500,COMPLETE
105,0.8224924345396881,2026-08-08 16:18:27.358270,2026-08-08 16:18:27.532847,0 days 00:00:00.174577,True,0.11304444108747957,0.882214646578307,0.9243084925325717,100,COMPLETE
106,0.8208291235695889,2026-08-08 16:18:27.611177,2026-08-08 16:18:27.801202,0 days 00:00:00.190025,True,0.12235417220108988,0.8808333700427582,0.9256641985112344,100,COMPLETE
107,0.8142488691181424,2026-08-08 16:18:27.879474,2026-08-08 16:18:28.085901,0 days 00:00:00.206427,True,0.14754673140236385,0.911886779696082,0.9805663973820283,100,COMPLETE
108,0.8218761130130763,2026-08-08 16:18:28.149033,2026-08-08 16:18:28.355038,0 days 00:00:00.206005,True,0.09495753948396116,0.9711120098207648,0.9506797771956148,100,COMPLETE
109,0.8246388083279423,2026-08-08 16:18:28.418007,2026-08-08 16:18:28.623933,0 days 00:00:00.205926,True,0.10960592675084657,0.9742944291692128,0.9579239964630689,100,COMPLETE
110,0.8257251696625647,2026-08-08 16:18:28.686606,2026-08-08 16:18:28.891474,0 days 00:00:00.204868,True,0.12997321226090572,0.9753005397674583,0.9505305566197961,100,COMPLETE
111,0.8271683009030094,2026-08-08 16:18:28.954180,2026-08-08 16:18:29.160971,0 days 00:00:00.206791,True,0.12902816681408238,0.9730851064596324,0.907716847397629,100,COMPLETE
112,0.8100303224133879,2026-08-08 16:18:29.224048,2026-08-08 16:18:29.429021,0 days 00:00:00.204973,True,0.12964757639405255,0.9901206819549452,0.9488348553062014,100,COMPLETE
113,0.8284266871158212,2026-08-08 16:18:29.491655,2026-08-08 16:18:29.697316,0 days 00:00:00.205661,True,0.1690366916304149,0.9777357852136335,0.9054459296907762,100,COMPLETE
114,0.8271104545091112,2026-08-08 16:18:29.759948,2026-08-08 16:18:29.965629,0 days 00:00:00.205681,True,0.16724330799970097,0.9771581922001329,0.9102190380354389,100,COMPLETE
115,0.8271237803799569,2026-08-08 16:18:30.028263,2026-08-08 16:18:30.234687,0 days 00:00:00.206424,True,0.21347845850909633,0.9808106293310148,0.9087282479169705,100,COMPLETE
116,0.8270613910755431,2026-08-08 16:18:30.297311,2026-08-08 16:18:30.502862,0 days 00:00:00.205551,True,0.22678435605254207,0.9771795681512419,0.9105107529025736,100,COMPLETE
117,0.826104654120965,2026-08-08 16:18:30.565493,2026-08-08 16:18:30.772307,0 days 00:00:00.206814,True,0.22573247796873644,0.9800942232463379,0.9140475618132095,100,COMPLETE
118,0.8114116700708209,2026-08-08 16:18:30.834956,2026-08-08 16:18:31.040625,0 days 00:00:00.205669,True,0.21628617695809543,0.9984356240582317,0.9044043925257813,100,COMPLETE
119,0.8168846657992735,2026-08-08 16:18:31.103518,2026-08-08 16:18:31.309304,0 days 00:00:00.205786,True,0.23211210463379783,0.982161243678367,0.8647589327457358,100,COMPLETE
120,0.8122602857551287,2026-08-08 16:18:31.371927,2026-08-08 16:18:31.577901,0 days 00:00:00.205974,True,0.2547407386263482,0.9599361191301183,0.9008539573159914,100,COMPLETE
121,0.8240670073243832,2026-08-08 16:18:31.640562,2026-08-08 16:18:31.847938,0 days 00:00:00.207376,True,0.22379506177662328,0.977219005694506,0.9133845654762045,100,COMPLETE
122,0.8157413666528561,2026-08-08 16:18:31.908935,2026-08-08 16:18:32.114613,0 days 00:00:00.205678,True,0.2206081919071521,0.9908929485575374,0.9159895100004681,100,COMPLETE
123,0.8192939226760287,2026-08-08 16:18:32.177242,2026-08-08 16:18:32.382250,0 days 00:00:00.205008,True,0.1902577743121494,0.9797141816298528,0.878489929616067,100,COMPLETE
124,0.8093767490205485,2026-08-08 16:18:32.444890,2026-08-08 16:18:32.650511,0 days 00:00:00.205621,True,0.16943369538675443,0.9607950200711582,0.8507685371839939,100,COMPLETE
125,0.8078070220070701,2026-08-08 16:18:32.713193,2026-08-08 16:18:32.918577,0 days 00:00:00.205384,True,0.24935850989567232,0.999459062710162,0.8225758968824128,100,COMPLETE
126,0.8220390520702345,2026-08-08 16:18:32.981207,2026-08-08 16:18:33.187166,0 days 00:00:00.205959,True,0.28551634346761023,0.9740215709887111,0.9259287447406784,100,COMPLETE
127,0.823239289028447,2026-08-08 16:18:33.249805,2026-08-08 16:18:33.455077,0 days 00:00:00.205272,True,0.2379836787648429,0.9836914307471537,0.8991191464519195,100,COMPLETE
128,0.8118959443317801,2026-08-08 16:18:33.517717,2026-08-08 16:18:33.723676,0 days 00:00:00.205959,True,0.20970553096225442,0.9554299944934806,0.910306249303295,100,COMPLETE
129,0.8193390489204833,2026-08-08 16:18:33.786396,2026-08-08 16:18:33.991770,0 days 00:00:00.205374,True,0.18244665977033844,0.9658580984852259,0.8750964925062477,100,COMPLETE
130,0.8216450302981845,2026-08-08 16:18:34.054432,2026-08-08 16:18:34.433613,0 days 00:00:00.379181,True,0.2094143065613896,0.94361886941986,0.9388452611023786,200,COMPLETE
131,0.8296235926063222,2026-08-08 16:18:34.496251,2026-08-08 16:18:34.702558,0 days 00:00:00.206307,True,0.23103882490605177,0.9754297914837309,0.9912850878875428,100,COMPLETE
132,0.80364813886042,2026-08-08 16:18:34.765252,2026-08-08 16:18:34.970922,0 days 00:00:00.205670,True,0.2721329626973079,0.9873732188540464,0.9854186658912829,100,COMPLETE
133,0.8260492306126751,2026-08-08 16:18:35.033582,2026-08-08 16:18:35.238507,0 days 00:00:00.204925,True,0.22616253561639296,0.9768230421526306,0.9497958913398299,100,COMPLETE
134,0.8251524600769025,2026-08-08 16:18:35.301217,2026-08-08 16:18:35.506768,0 days 00:00:00.205551,True,0.2478811371118506,0.9667637581530248,0.9530181127927132,100,COMPLETE
135,0.8140138492141371,2026-08-08 16:18:35.569401,2026-08-08 16:18:35.774679,0 days 00:00:00.205278,True,0.24406098554835512,0.9524604030369194,0.9372240450681347,100,COMPLETE
136,0.8253047990095244,2026-08-08 16:18:35.837362,2026-08-08 16:18:36.043364,0 days 00:00:00.206002,True,0.2653832049117887,0.9635976756617515,0.8880967941263507,100,COMPLETE
137,0.8185367709234344,2026-08-08 16:18:36.106005,2026-08-08 16:18:36.312086,0 days 00:00:00.206081,True,0.30384651913259597,0.9618817918469333,0.9912636877617006,100,COMPLETE
138,0.8090317906820665,2026-08-08 16:18:36.374738,2026-08-08 16:18:36.579364,0 days 00:00:00.204626,True,0.26741010510557683,0.9916476470426288,0.9512977775041631,100,COMPLETE
139,0.8047850779321155,2026-08-08 16:18:36.642028,2026-08-08 16:18:36.847184,0 days 00:00:00.205156,True,0.22636508231497038,0.9375072026008042,0.9259414763409186,100,COMPLETE
140,0.8104073839861798,2026-08-08 16:18:36.909818,2026-08-08 16:18:37.290631,0 days 00:00:00.380813,True,0.1966832266278945,0.9536125566781876,0.9984016088452532,200,COMPLETE
141,0.8203787697071458,2026-08-08 16:18:37.353268,2026-08-08 16:18:37.559223,0 days 00:00:00.205955,True,0.23144915099627472,0.9656214055951639,0.8513003958531283,100,COMPLETE
142,0.8203045688353916,2026-08-08 16:18:37.621891,2026-08-08 16:18:37.827224,0 days 00:00:00.205333,True,0.24372279915855405,0.9809817745353389,0.8923304780606117,100,COMPLETE
143,0.8239404115513493,2026-08-08 16:18:37.889859,2026-08-08 16:18:38.094806,0 days 00:00:00.204947,True,0.26705376229986655,0.9691884149052368,0.8873872367516864,100,COMPLETE
144,0.809325565562073,2026-08-08 16:18:38.157652,2026-08-08 16:18:38.363456,0 days 00:00:00.205804,True,0.16570246549123832,0.989689688749534,0.8725008194482512,100,COMPLETE
145,0.8080611221352407,2026-08-08 16:18:38.426088,2026-08-08 16:18:38.631555,0 days 00:00:00.205467,True,0.1549283018958764,0.9499381351116589,0.9096971115374474,100,COMPLETE
