number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_contamination,params_max_features,params_max_samples,params_n_estimators,state
42,0.8191688412065001,2026-08-03 17:04:41.530546,2026-08-03 17:04:41.752552,0 days 00:00:00.222006,False,0.07506938613228853,0.9716963726034267,0.8071170268241421,100,COMPLETE
43,0.8046654479552057,2026-08-03 17:04:41.828070,2026-08-03 17:04:42.057214,0 days 00:00:00.229144,False,0.15375375868782118,0.9979640541478672,0.7832281141879266,100,COMPLETE
44,0.819377512229515,2026-08-03 17:04:42.127729,2026-08-03 17:04:43.377776,0 days 00:00:01.250047,False,0.07744994677355281,0.9652781393863055,0.9279632783708806,600,COMPLETE
45,0.8110942720561334,2026-08-03 17:04:43.453891,2026-08-03 17:04:44.711027,0 days 00:00:01.257136,False,0.11370667527963399,0.9614770205726159,0.9369988840136754,600,COMPLETE
46,0.8150151066917678,2026-08-03 17:04:44.787209,2026-08-03 17:04:45.015587,0 days 00:00:00.228378,False,0.08019541662271096,0.8979244437327263,0.6400820240539186,100,COMPLETE
47,0.8173080650593243,2026-08-03 17:04:45.092739,2026-08-03 17:04:45.530314,0 days 00:00:00.437575,False,0.14893542767616713,0.9670450279364681,0.8051661785656125,200,COMPLETE
48,0.8060976762104131,2026-08-03 17:04:45.606634,2026-08-03 17:04:45.828003,0 days 00:00:00.221369,False,0.10272428116837001,0.9225702082929349,0.715925258488526,100,COMPLETE
49,0.8113623037765518,2026-08-03 17:04:45.898265,2026-08-03 17:04:47.120573,0 days 00:00:01.222308,False,0.13847927801305288,0.845652934022667,0.8834553193403373,600,COMPLETE
50,0.8144024194935684,2026-08-03 17:04:47.202949,2026-08-03 17:04:47.627582,0 days 00:00:00.424633,False,0.08214092063753785,0.967003437625178,0.9465209698337488,200,COMPLETE
51,0.8153076701289701,2026-08-03 17:04:47.703806,2026-08-03 17:04:48.696056,0 days 00:00:00.992250,False,0.02963281364107853,0.9234641650369911,0.9972930268039677,500,COMPLETE
52,0.8151071763448832,2026-08-03 17:04:48.766487,2026-08-03 17:04:50.002393,0 days 00:00:01.235906,False,0.0615823716913016,0.885372234297983,0.8719047247497401,600,COMPLETE
53,0.8179168150684102,2026-08-03 17:04:50.078923,2026-08-03 17:04:50.307070,0 days 00:00:00.228147,False,0.02647691251066961,0.9416710435376301,0.9553329749687062,100,COMPLETE
54,0.8117681371159422,2026-08-03 17:04:50.383434,2026-08-03 17:04:50.606661,0 days 00:00:00.223227,False,0.0819207454808535,0.9966045100616987,0.8229289503118457,100,COMPLETE
55,0.8192887740441112,2026-08-03 17:04:50.683178,2026-08-03 17:04:51.738625,0 days 00:00:01.055447,False,0.11985577321863172,0.9627267154627821,0.9194202780654401,500,COMPLETE
56,0.8215905153719978,2026-08-03 17:04:51.820976,2026-08-03 17:04:52.884482,0 days 00:00:01.063506,False,0.11340630567422308,0.9675409287683246,0.7761569183162288,500,COMPLETE
57,0.8111739244205063,2026-08-03 17:04:52.960737,2026-08-03 17:04:53.974718,0 days 00:00:01.013981,False,0.12274574448400545,0.8586217234904987,0.7640820596591378,500,COMPLETE
58,0.8134172136330927,2026-08-03 17:04:54.064961,2026-08-03 17:04:55.301140,0 days 00:00:01.236179,False,0.20119879860495793,0.9050238988330254,0.902454664358277,600,COMPLETE
59,0.8066431283329819,2026-08-03 17:04:55.377383,2026-08-03 17:04:56.440275,0 days 00:00:01.062892,False,0.14394102918319188,0.952153540718792,0.7125565876331592,500,COMPLETE
60,0.812383852921152,2026-08-03 17:04:56.516395,2026-08-03 17:04:57.766316,0 days 00:00:01.249921,False,0.09861187625915276,0.926414985117833,0.6568133140272012,600,COMPLETE
61,0.8181839382067253,2026-08-03 17:04:57.842930,2026-08-03 17:04:58.905272,0 days 00:00:01.062342,False,0.11716786358553853,0.9787274892696541,0.8596366104317604,500,COMPLETE
62,0.8181754581070965,2026-08-03 17:04:58.988397,2026-08-03 17:04:59.849802,0 days 00:00:00.861405,False,0.16383064779035814,0.9756542422057808,0.8046030993610047,400,COMPLETE
63,0.8179928331043707,2026-08-03 17:04:59.926177,2026-08-03 17:05:00.947075,0 days 00:00:01.020898,False,0.062117086236042535,0.8900875455960423,0.9175658806677424,500,COMPLETE
64,0.8101299635840293,2026-08-03 17:05:01.030163,2026-08-03 17:05:02.294040,0 days 00:00:01.263877,False,0.09391879687635593,0.955157799537236,0.7814589606337263,600,COMPLETE
65,0.8103104685618477,2026-08-03 17:05:02.370556,2026-08-03 17:05:02.599671,0 days 00:00:00.229115,False,0.11329522020687967,0.9376240621476062,0.9662603328955,100,COMPLETE
66,0.8099152353469935,2026-08-03 17:05:02.676140,2026-08-03 17:05:03.106310,0 days 00:00:00.430170,False,0.13304282932778527,0.9152128164850293,0.7260855549282094,200,COMPLETE
67,0.8075589790929201,2026-08-03 17:05:03.175822,2026-08-03 17:05:03.988488,0 days 00:00:00.812666,False,0.0737027007711775,0.8130579834277016,0.8258329262293833,400,COMPLETE
68,0.818573114207559,2026-08-03 17:05:04.064920,2026-08-03 17:05:05.127063,0 days 00:00:01.062143,False,0.17702154796847594,0.9833409742871122,0.8720376537215265,500,COMPLETE
69,0.7953609614979249,2026-08-03 17:05:05.210174,2026-08-03 17:05:05.599415,0 days 00:00:00.389241,False,0.19605275297717606,0.8713546609314369,0.12367321007756021,200,COMPLETE
70,0.81851799355997,2026-08-03 17:05:05.675821,2026-08-03 17:05:05.898213,0 days 00:00:00.222392,False,0.045111062150023466,0.9372165682092937,0.9182366575866305,100,COMPLETE
71,0.8033331637313408,2026-08-03 17:05:05.982615,2026-08-03 17:05:06.786800,0 days 00:00:00.804185,True,0.025581701462121235,0.9610411895368588,0.997450697042641,400,COMPLETE
72,0.8284739333851832,2026-08-03 17:05:06.876169,2026-08-03 17:05:07.689677,0 days 00:00:00.813508,True,0.05386199509107458,0.9693563942766983,0.9488198784827652,400,COMPLETE
73,0.81174996547388,2026-08-03 17:05:07.765252,2026-08-03 17:05:08.988154,0 days 00:00:01.222902,True,0.058292594101169284,0.9990762884280859,0.9634389316535915,600,COMPLETE
74,0.8249310689044438,2026-08-03 17:05:09.079579,2026-08-03 17:05:10.148002,0 days 00:00:01.068423,False,0.07919783398085657,0.9703532480829504,0.8918241470603508,500,COMPLETE
75,0.815257395252598,2026-08-03 17:05:10.229266,2026-08-03 17:05:11.266361,0 days 00:00:01.037095,False,0.09195270071705805,0.905892143550748,0.8911888346075434,500,COMPLETE
